名次,日期,视频名,up主,播放量,弹幕,url
第1名,2022-11-11,眼“色”游戏 （9）,小潮院长,302.8万,3.1万,http://www.bilibili.com/video/BV1b14y1p7ju
第2名,2022-11-11,折叠屏iPhone全球首发！「科技美学」出品 iPhoneV 经费爆炸/怒肝300天,科技美学,377.1万,1.4万,http://www.bilibili.com/video/BV1MG4y1f7iF
第3名,2022-11-11,五个长期任务，早看早做完哦！,小早柚原神,123万,266,http://www.bilibili.com/video/BV1mP411F7Ca
第4名,2022-11-11,【纯黑】《战神：诸神黄昏》战神难度无伤攻略解说 第一期,-纯黑-,145.2万,1.6万,http://www.bilibili.com/video/BV1Qv4y1U7zC
第5名,2022-11-11,[静改动] RC遥控潜艇制作历程,吉利狐,123.4万,4294,http://www.bilibili.com/video/BV1M84y1v71R
第6名,2022-11-11,净化宿舍环境，从我做起,三哈兄弟-沙雕日常,202.9万,728,http://www.bilibili.com/video/BV1XR4y1f77C
第7名,2022-11-11,法国人为何在老挝守灵？【硬核狠人43】,小约翰可汗,168.6万,1.5万,http://www.bilibili.com/video/BV1WY411Z7Cj
第8名,2022-11-11,《萌宠区UP主》,阿文今天吃什么丶,142万,761,http://www.bilibili.com/video/BV1S84y1v73Q
第9名,2022-11-11,这是小提琴该有的动静？,球球特别大,169.8万,1129,http://www.bilibili.com/video/BV1zY411Z7PX
第10名,2022-11-11,说上“家乡话”瞬间注入灵魂【原神语音】,小一Yoyo,113.8万,203,http://www.bilibili.com/video/BV1sG411w7vN
第11名,2022-11-11,这到底该怎么过去啊？？,老番茄,120万,4167,http://www.bilibili.com/video/BV1nW4y147Kt
第12名,2022-11-11,大学生如何在宿舍拍出《奔跑吧兄弟》第2季,小叮当的伙伴们,126.5万,4459,http://www.bilibili.com/video/BV1sG411w755
第13名,2022-11-11,三 观 比 五 官 正，但 瞎,知了解压萌物,170.6万,4580,http://www.bilibili.com/video/BV1Mm4y1F7oT
第14名,2022-11-11,自信，太自信了,小叮当的一家,179.9万,827,http://www.bilibili.com/video/BV1yP4y127Tf
第15名,2022-11-11,把相机绑在老鹰身上，沉浸式飞翔…太震撼了！,影石Insta360,165.3万,2771,http://www.bilibili.com/video/BV1DG411c7c2
第16名,2022-11-11,啊，这就是中年的前奏吗？,papi酱,146.1万,4655,http://www.bilibili.com/video/BV1B84y1v7SH
第17名,2022-11-11,全球唯一米其林 油炸树皮 复刻出来会是什么味道,澳洲阿彭,133.1万,1.1万,http://www.bilibili.com/video/BV17K411U75f
第18名,2022-11-11,宫崎骏动漫风滤镜,醒图教程,87.6万,196,http://www.bilibili.com/video/BV1LP411A7KV
第19名,2022-11-11,求求你给我一个认识你的机会呜呜,紫菜蛋花兔兔,82.6万,379,http://www.bilibili.com/video/BV1e14y1p7VX
第20名,2022-11-11,当代年轻人的身体状况,狈总,171.4万,1791,http://www.bilibili.com/video/BV17G411w73r
第21名,2022-11-11,她明明是在认真地做菜，但为什么我这么想笑。。。,绵羊料理,250.3万,1.2万,http://www.bilibili.com/video/BV1qG4y1t7bR
第22名,2022-11-11,本来挺喜欢喝阿萨姆的。,龺火,463.8万,1714,http://www.bilibili.com/video/BV1Qe4y1s7Er
第23名,2022-11-11,那天我才明白，原来手工，远远落后于时代,陈一明在这,123.7万,1192,http://www.bilibili.com/video/BV15G4y1t7Bh
第24名,2022-11-11,你们要的《猪猪侠》主题曲改古风,糖醋蛋黄,146.5万,752,http://www.bilibili.com/video/BV17g411B753
第25名,2022-11-11,中性笔也能写笔锋？轻松拿下卷面分！,硬笔周老师线上收徒,183.4万,550,http://www.bilibili.com/video/BV1ke4y1x7ZV
第26名,2022-11-11,美越要学习几种语言？被法语支配的恐惧,娱圈小丸子,243.2万,4182,http://www.bilibili.com/video/BV1vv4y1U7Zf
第27名,2022-11-11,这是一条不能燃的视频,人民日报,76万,753,http://www.bilibili.com/video/BV1EP4y127j5
第28名,2022-11-11,【路温】从国产女性题材剧里挖掘“厌女”,路温1900,92.2万,9898,http://www.bilibili.com/video/BV17v4y1S7QT
第29名,2022-11-11,切  尔  西  大  逃  亡,小开整好活,93.6万,1180,http://www.bilibili.com/video/BV16v4y1U7M3
第30名,2022-11-11,战辉榴莲姐,战辉,169.7万,922,http://www.bilibili.com/video/BV1bd4y1w7BN
第31名,2022-11-11,天玑9200前瞻上手：赶上A16了吗？,极客湾Geekerwan,108.6万,7694,http://www.bilibili.com/video/BV1Be4y117Dt
第32名,2022-11-11,《百面千相》首曝PV——千相阅尽，方知众生百面,百面千相,110.8万,5713,http://www.bilibili.com/video/BV1UK411m7xQ
第33名,2022-11-11,今晚上这座城市又多了一个伤心的人,岛城三人行,297.8万,1088,http://www.bilibili.com/video/BV17K411m7bs
第34名,2022-11-11,叫了几个造型师来改造自己，结果成了氛围感帅哥，这算成功吗？？？,永琪吗,163.3万,2401,http://www.bilibili.com/video/BV1xV4y137Av
第35名,2022-11-11,只因篮球，但是二向箔！,神笔靳强,96.6万,699,http://www.bilibili.com/video/BV1g14y157df
第36名,2022-11-11,我们的故事未完待续！求祝福！,z做我的猫i,110.3万,1276,http://www.bilibili.com/video/BV18d4y1F74P
第37名,2022-11-11,【原神配音•5】生无可恋——夜兰,-妍YAN_,98.6万,349,http://www.bilibili.com/video/BV1YW4y177iT
第38名,2022-11-11,南昌. 九龙湖消防联动,真探唐仁杰,92.6万,1317,http://www.bilibili.com/video/BV1WG411w7KK
第39名,2022-11-11,《明日方舟》危机合约新赛季「赝波行动」宣传PV,明日方舟,93.1万,2758,http://www.bilibili.com/video/BV1ED4y1x7Vc
第40名,2022-11-11,当时的我表面平静，内心复杂！,小柔SeeU,112万,206,http://www.bilibili.com/video/BV1Be411F7wT
第41名,2022-11-11,这就是爱,吴彦祖秃顶版,106.2万,849,http://www.bilibili.com/video/BV1Kt4y1T7TF
第42名,2022-11-11,《 承 让 》,中国BOY超级大猩猩,60.7万,5016,http://www.bilibili.com/video/BV1Xg411B7eL
第43名,2022-11-11,【国潮盛典】国风少年刘宇《如麟一梦》在龙鳞装的世界中恣意放歌，再现传奇非遗之美,河南春晚官方,33.6万,1.3万,http://www.bilibili.com/video/BV1Jm4y1F7T4
第44名,2022-11-11,饼！,小傲想睡觉,74.2万,1万,http://www.bilibili.com/video/BV1cP411c7sq
第45名,2022-11-11,我 的 社 交 生 活,是老胡没错,105.2万,2773,http://www.bilibili.com/video/BV1HP4y127Z6
第46名,2022-11-11,【私藏馆】苏打绿《我好想你》唱哭吴青峰的神曲！秋天的思念好像你,音乐私藏馆,76.7万,2405,http://www.bilibili.com/video/BV1nG411w7Nt
第47名,2022-11-11,13个实测靠谱的空气炸锅料理，不要让虚假食谱浇灭你的热情，烤箱通用版,泡厨房的顾小胖,63.6万,1275,http://www.bilibili.com/video/BV1CG411w74X
第48名,2022-11-11,鸡哥教我学魔法,某幻君,56.7万,2.9万,http://www.bilibili.com/video/BV1Ue4y1s7XV
第49名,2022-11-11,但如果这颜料条拔不出来，估计很多人会难受一整天,全球不知道,303.1万,173,http://www.bilibili.com/video/BV1Ze4y1x7n2
第50名,2022-11-11,快来看潮汕牛肉真的会跳舞！！【怎么这么值ep55-官塘兄弟牛肉店】,王师傅和小毛毛,91.9万,3770,http://www.bilibili.com/video/BV1jd4y1F7C1
第51名,2022-11-11,瑶生奉上《MerryChristmasMr.Lawrence》,瑶生Y,51.6万,415,http://www.bilibili.com/video/BV1XK411m73w
第52名,2022-11-11,蓝 色 女夭 女臣,KM二号,215.2万,3287,http://www.bilibili.com/video/BV1sG4y187EZ
第53名,2022-11-11,“后来才发现，猴哥的悟性可不是一般的高啊！”,wrizedm,201.7万,2030,http://www.bilibili.com/video/BV1Z14y1V7YB
第54名,2022-11-11,当老姑婆上司误会了你喜欢她！,真子日记,218.3万,4393,http://www.bilibili.com/video/BV1rV4y137bo
第55名,2022-11-11,猫猫震惊一整年！,戒喵中心,73.8万,642,http://www.bilibili.com/video/BV1dK411m7Nc
第56名,2022-11-11,65岁的我，找了个25岁的美国女友。。。,双驴座的Sid,152.7万,502,http://www.bilibili.com/video/BV1wm4y1F7Yy
第57名,2022-11-11,第一次吃牛肚包味道真的很不错，跟肉夹馍很像！,刘庸干净又卫生,96.3万,4291,http://www.bilibili.com/video/BV1114y1p7h4
第58名,2022-11-11,刺激！假装偷偷躲阳台用VR看小姐姐…被女友抓住后又让她看到肌肉帅哥？她会有啥反应…,盖里老哥,96.3万,3725,http://www.bilibili.com/video/BV1Xt4y1K77s
第59名,2022-11-11,【我结婚了！】恋爱第五年，差点分手还是结婚？那就结婚吧！和世界上最爱我的男人~【1802天，从校服到婚纱】,在下小苏,76.6万,4145,http://www.bilibili.com/video/BV11e4y1x7xj
第60名,2022-11-11,“一觉醒来老婆变成了石原里美”,托马斯家的,124.2万,1063,http://www.bilibili.com/video/BV14P4y1278C
第61名,2022-11-11,【战地5】中日交流赛解说！双方玩家十分热情浩克！,小鸣er先生,136.8万,4309,http://www.bilibili.com/video/BV1Gm4y1F7yd
第62名,2022-11-11,健身七年，我练成了以前p都不敢p出的身材,鹦鹉梨,102.3万,2189,http://www.bilibili.com/video/BV18Y411Z7mV
第63名,2022-11-11,剪一种很新的拳法,JOJO软件,69.8万,217,http://www.bilibili.com/video/BV1ce4y147tF
第64名,2022-11-11,俩猛男差点被撑爆！800一人的“奇葩”自助餐到底有多离谱！？,哇塞几张,106.2万,4034,http://www.bilibili.com/video/BV1jP411c7J1
第65名,2022-11-11,雅俗共赏,文武俩兄弟,160万,1052,http://www.bilibili.com/video/BV1zg411B7c5
第66名,2022-11-11,【阿斗】野人大战异鬼大军！真每秒都是经费在燃烧！美剧史诗巨作《权力的游戏》第18期,阿斗归来了,73.7万,1万,http://www.bilibili.com/video/BV1rP4y127qR
第67名,2022-11-11,空：让我们来一场全泰拉的演唱会会会会会会会会会会会会会,停止你的想法,59.2万,152,http://www.bilibili.com/video/BV1qP4y127t4
第68名,2022-11-11,当我不再是讨好型人格,阿瘫日记,69.2万,72,http://www.bilibili.com/video/BV1ut4y1T7R4
第69名,2022-11-11,理发师老爸带娃系列！沁伊今天有点精致哟~,沁伊baby,114.1万,229,http://www.bilibili.com/video/BV1oe4y1y7pd
第70名,2022-11-11,紫罗兰永恒花园xMaylaClassic 联名高跟鞋开箱和试穿,娜雅虎,96.7万,452,http://www.bilibili.com/video/BV1vP4y127AL
第71名,2022-11-11,穿越Mc之救世战神,花少北丶,36.7万,1.4万,http://www.bilibili.com/video/BV1j84y1v73U
第72名,2022-11-11,吃早餐去咯～,田花花,97万,375,http://www.bilibili.com/video/BV1GG4y1t7m7
第73名,2022-11-11,芬兰家人敦煌风出场震惊四座！被东坡肉惊艳到赞不绝口！龙井虾仁绝了！各显神通变装上演狂欢晚会！,雨琪在芬兰,67.9万,7367,http://www.bilibili.com/video/BV1dd4y1r7di
第74名,2022-11-11,斥巨资买两只深海怪物，栗突仿石蟹，出锅后惊喜连连,小文哥吃吃吃,84.8万,2487,http://www.bilibili.com/video/BV1X24y1f7US
第75名,2022-11-11,妈妈陪我去相亲后，她终于能理解我了……,皮皮在农村阿,200.3万,1105,http://www.bilibili.com/video/BV1RR4y1f79M
第76名,2022-11-11,爸 爸 的 车,极速拍档,121.3万,1.2万,http://www.bilibili.com/video/BV1Mg411z7Vr
第77名,2022-11-11,交配一次终生产卵，“黑寡妇”到底有多毒？,央视农业,70.4万,1266,http://www.bilibili.com/video/BV1MG411w7ye
第78名,2022-11-11,“旅行者，进来感受提瓦特四神的魅力！”【原神四神】,永远的我的鸟笼Me,50.8万,862,http://www.bilibili.com/video/BV1t84y1v7kj
第79名,2022-11-11,【原神】草神电影预告 - 轮回终焉4k【void】,void新神殿下,40.5万,370,http://www.bilibili.com/video/BV1VG4y1t76p
第80名,2022-11-11,欢迎来到长沙耶总会,辣条是只萨摩耶,92.6万,413,http://www.bilibili.com/video/BV13e411F74x
第81名,2022-11-11,【4K纯享】歼–20：我要“撕裂”这天空！,百岁山不甜pro,64.5万,2462,http://www.bilibili.com/video/BV1zY411Z75a
第82名,2022-11-11,自动写英文文献综述，研究生必备的赶进度工具,小楞君,30.1万,37,http://www.bilibili.com/video/BV1de4y117is
第83名,2022-11-11,【原神】看好了，这才是渡海的正确方式！,覆雪之下--,99.4万,2332,http://www.bilibili.com/video/BV1Ge4y1x77Z
第84名,2022-11-11,我只是辞职了，不是辞世了……,FairyHekate,148.7万,3295,http://www.bilibili.com/video/BV1v24y1f7wg
第85名,2022-11-11,Beyond 海阔天空 8bit版,王利夫,42.6万,237,http://www.bilibili.com/video/BV1Te4y1v7XH
第86名,2022-11-11,大学讲师差距真的这么大吗？罗翔堪称人间清醒，反PUA还得是陈果,吃瓜冲锋团,70.2万,512,http://www.bilibili.com/video/BV16D4y1t7Np
第87名,2022-11-11,《雅 俗 共 赏》,罗汉解说,76.2万,1457,http://www.bilibili.com/video/BV1824y1f7vK
第88名,2022-11-11,胖虎给rua了！,百花街萌鼠屋,48.4万,2520,http://www.bilibili.com/video/BV1dG4y1Z7of
第89名,2022-11-11,翻过折多山到康定，更新了一些过冬装备，自行车就是我移动的家,徐云流浪中国,60.2万,1.2万,http://www.bilibili.com/video/BV1jY411Z7hB
第90名,2022-11-11,【水果猎人】香蕉的“科技与狠活”？辟谣！,水果猎人杨晓洋,115.3万,1321,http://www.bilibili.com/video/BV13d4y1w7mM
第91名,2022-11-11,昨晚做完核酸走在路边看到的女生，灰打底裤真的很好看。,花铭__,95.3万,410,http://www.bilibili.com/video/BV1Se4y1a7JQ
第92名,2022-11-11,这个学校，果然离不开副校长！,潇潇学姐lady,83.4万,177,http://www.bilibili.com/video/BV1tG4y1t771
第93名,2022-11-11,“他获奖那天，台下所有人都哭了”,黑夜地孩子,100万,2358,http://www.bilibili.com/video/BV1o24y117rE
第94名,2022-11-11,超级无敌电光火石卷尺加速赛！【奇怪の竞技】（第一期）,Super也好君,78.5万,3918,http://www.bilibili.com/video/BV1QG4y1Z727
第95名,2022-11-11,男孩们路边摆造型拍照，一大哥误以为在霸凌同学上前制止。网友：热心肠！喝醉了也不忘行侠仗义,新民晚报,81.6万,161,http://www.bilibili.com/video/BV13G4y1f7Zb
第96名,2022-11-11,美女深夜生蚝吃到饱！生腌酷酷炫！,小紧张的虫虫,105.3万,3437,http://www.bilibili.com/video/BV1e84y1v7xX
第97名,2022-11-11,是这样的先生，我们这个18w。,每天都要笑一笑哦,81.5万,51,http://www.bilibili.com/video/BV1Hd4y1w7Lx
第98名,2022-11-11,女孩子玩草神的时候在想什么,不是的的是のの,54.6万,313,http://www.bilibili.com/video/BV1Uv4y1U7zR
第99名,2022-11-11,[林中小屋]：今天，我们来品品这一件稀世珍品,钢钢哞,73.2万,6120,http://www.bilibili.com/video/BV1y8411b7Hd
第100名,2022-11-11,我真没想到小猫咪能那么重！！,奶盖和九爷,107.4万,83,http://www.bilibili.com/video/BV1se411F7NP
